epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0973,1.69289,2.46469,5.61194,1.40745,0.08465,0.61545,0.08381,0.04334,0.08456,0.52976,0.10659,0.0564,1.4869,2.34916,3.74885,1.18401,0.00028339,0.00028339,0.00028339
2,19.4726,1.95693,3.07053,3.82846,1.47915,0.05114,0.27976,0.05665,0.02408,0.05179,0.31548,0.0573,0.02831,1.70806,5.7884,71.6094,1.44359,0.000582283,0.000582283,0.000582283
3,31.0727,1.91478,2.26938,4.53565,1.5331,0.00051,0.10714,0.00032,0.00012,0.00051,0.10714,0.00032,0.00014,1.90535,7.82751,84.048,1.45016,0.000879977,0.000879977,0.000879977
4,39.1514,1.83715,2.9905,3.87091,1.43582,0.01002,0.50298,0.01595,0.007,0.00826,0.44643,0.01527,0.00654,1.85001,4.29658,3.20965,1.63548,0.00117647,0.00117647,0.00117647
5,46.1219,2.05285,2.40012,3.52656,1.63488,0.00522,0.08333,0.0021,0.00131,0.00522,0.08333,0.00216,0.00162,2.0377,4.55221,417.007,1.77111,0.00147176,0.00147176,0.00147176
6,52.856,2.10098,2.29012,3.14514,1.64281,0.01348,0.29167,0.01093,0.00558,0.01238,0.25,0.01072,0.00551,2.40072,5.41744,23.428,2.49113,0.00165034,0.00165034,0.00165034
7,59.4698,2.0597,2.41686,3.09851,1.66862,0.00492,0.30357,0.00358,0.00191,0.0088,0.21131,0.00484,0.00165,2.36073,37.9422,379.943,2.26039,0.001647,0.001647,0.001647
8,66.2476,1.91951,2.53374,3.66728,1.54664,0.0821,0.30655,0.14,0.05404,0.07657,0.28571,0.16801,0.09223,1.89579,4.77295,21.1811,1.68289,0.00164367,0.00164367,0.00164367
9,73.3338,2.1285,2.77445,3.53863,1.55372,0.04441,0.13393,0.02212,0.00775,0.07791,0.15476,0.02943,0.01178,2.37263,4.60149,10.3349,2.01023,0.00164034,0.00164034,0.00164034
10,80.0952,2.16749,2.75786,3.05908,1.59137,0.15846,0.22917,0.11536,0.027,0.18736,0.24972,0.13506,0.03324,2.29815,4.35035,6.88827,2.1916,0.001637,0.001637,0.001637
11,87.1699,2.03466,2.03327,2.8182,1.53292,0.71529,0.23649,0.22183,0.05303,0.75471,0.28144,0.26894,0.14372,1.87436,3.1618,5.57228,1.42769,0.00163367,0.00163367,0.00163367
12,94.0356,1.86766,1.84652,2.67268,1.45434,0.32836,0.34226,0.13339,0.04108,0.68494,0.3125,0.24289,0.14835,1.99343,2.22946,9.33477,1.71454,0.00163034,0.00163034,0.00163034
13,100.764,1.97726,2.02822,2.88261,1.59604,0.37372,0.1131,0.13936,0.05667,0.42766,0.15476,0.18427,0.12579,1.72687,2.11183,4.18497,1.73374,0.001627,0.001627,0.001627
14,107.615,1.82686,1.91812,2.49939,1.55304,0.27,0.29464,0.25315,0.10505,0.27,0.29464,0.25038,0.14087,1.63971,1.76543,3.83126,1.77418,0.00162367,0.00162367,0.00162367
15,114.502,1.74013,1.76706,2.43167,1.51834,0.58316,0.15759,0.17475,0.07673,0.58316,0.15759,0.18527,0.1171,1.7458,1.61896,2.89059,1.58227,0.00162034,0.00162034,0.00162034
16,121.307,1.67511,1.60144,2.49135,1.48278,0.26983,0.48214,0.2595,0.12389,0.67283,0.33333,0.28279,0.1686,1.54779,1.67731,3.86334,1.49044,0.00161701,0.00161701,0.00161701
17,128.205,1.71369,1.69283,2.44313,1.50235,0.30219,0.42855,0.26547,0.15392,0.30155,0.43962,0.27683,0.13648,1.48859,1.65806,2.99445,1.42962,0.00161367,0.00161367,0.00161367
18,135.124,1.59394,1.59719,2.20152,1.46983,0.28017,0.42262,0.29493,0.17929,0.28017,0.42262,0.29155,0.13639,1.42584,1.36649,2.26011,1.38642,0.00161034,0.00161034,0.00161034
19,142.071,1.56976,1.7714,2.09211,1.406,0.40122,0.3869,0.33059,0.1475,0.42915,0.40774,0.35067,0.21902,1.78085,1.21186,2.34822,1.56464,0.00160701,0.00160701,0.00160701
20,148.839,1.66525,1.57718,2.07052,1.38854,0.25165,0.49107,0.36925,0.21029,0.25165,0.49107,0.36931,0.18765,1.57937,1.23823,1.77601,1.48448,0.00160367,0.00160367,0.00160367
21,155.739,1.65315,1.51477,2.05478,1.38075,0.28389,0.4494,0.34187,0.20636,0.28389,0.4494,0.3343,0.17062,1.61814,1.24253,3.16553,1.47191,0.00160034,0.00160034,0.00160034
22,162.516,1.57773,1.45155,1.83712,1.35551,0.42006,0.33427,0.32751,0.17992,0.42006,0.33427,0.32453,0.17317,1.69772,1.32328,4.24984,1.49135,0.00159701,0.00159701,0.00159701
23,169.335,1.54948,1.52702,1.92101,1.36251,0.32318,0.2381,0.22783,0.13522,0.32318,0.2381,0.22237,0.14119,1.60672,1.34958,3.31505,1.34994,0.00159367,0.00159367,0.00159367
24,176.153,1.49305,1.36738,1.87554,1.29176,0.15373,0.40774,0.21968,0.13973,0.15826,0.42857,0.22074,0.11935,1.52499,1.56713,3.08954,1.3049,0.00159034,0.00159034,0.00159034
25,183.593,1.42904,1.33094,1.72809,1.29069,0.25628,0.40774,0.27868,0.17314,0.26001,0.42857,0.28839,0.15001,1.59044,1.4839,2.48721,1.41341,0.00158701,0.00158701,0.00158701
26,190.399,1.45832,1.53498,1.65055,1.30727,0.61072,0.3219,0.32568,0.18016,0.61072,0.3219,0.32046,0.17339,1.80081,1.9855,3.01688,1.4896,0.00158368,0.00158368,0.00158368
27,197.27,1.49926,1.46207,1.68652,1.30505,0.55693,0.289,0.40151,0.24459,0.55693,0.289,0.37892,0.16931,1.38035,1.25553,2.00582,1.31501,0.00158034,0.00158034,0.00158034
28,204.553,1.43719,1.34586,1.49834,1.27029,0.33882,0.47024,0.42237,0.25384,0.34928,0.49107,0.42128,0.21245,1.37687,1.18492,2.0251,1.2917,0.00157701,0.00157701,0.00157701
29,213.473,1.36915,1.29978,1.53764,1.26664,0.69649,0.35582,0.39712,0.24114,0.69649,0.35582,0.39288,0.18256,1.47971,1.23575,2.1865,1.38355,0.00157368,0.00157368,0.00157368
30,220.134,1.37731,1.31902,1.52435,1.22636,0.44012,0.46067,0.33781,0.19096,0.44012,0.46067,0.3362,0.14029,1.6011,1.41841,2.61552,1.33789,0.00157034,0.00157034,0.00157034
31,226.803,1.38269,1.33448,1.41889,1.21957,0.51212,0.52164,0.42924,0.24425,0.55616,0.57012,0.48706,0.24579,1.68466,1.33433,2.26763,1.34124,0.00156701,0.00156701,0.00156701
32,234.034,1.33195,1.31589,1.37264,1.20217,0.54148,0.6086,0.5277,0.30397,0.54148,0.6086,0.53906,0.23584,1.41806,1.49205,1.91316,1.24282,0.00156368,0.00156368,0.00156368
33,241.021,1.37013,1.33485,1.42695,1.23758,0.61439,0.56364,0.55034,0.33832,0.63003,0.58207,0.56276,0.26993,1.56563,1.43171,1.96607,1.25299,0.00156034,0.00156034,0.00156034
34,247.966,1.33768,1.27392,1.36979,1.21177,0.51161,0.53571,0.45425,0.28536,0.50039,0.55655,0.45561,0.1902,1.50892,1.58585,1.92626,1.22095,0.00155701,0.00155701,0.00155701
